Reference,StrikeATMdiff,Forward_Rate,Volatility
EUR_9Y_1Y,-50,0.012995470555,0.00531910343612512
EUR_9Y_1Y,0,0.012995470555,0.00553444822519685
EUR_9Y_1Y,50,0.012995470555,0.00578048326424467
EUR_9Y_1Y,100,0.012995470555,0.00605277667982841
EUR_9Y_1Y,125,0.012995470555,0.00619728006172948
EUR_9Y_1Y,200,0.012995470555,0.00665691145133109
EUR_9Y_1Y,300,0.012995737887,0.00730356341976374
EUR_10Y_1Y,-200,0.014324525346,0.00497393495898434
EUR_10Y_1Y,-175,0.014325371723,0.00505018563350085
EUR_10Y_1Y,-150,0.014322356091,0.00511367636312917
EUR_10Y_1Y,-100,0.014322356091,0.0052577370670869
EUR_10Y_1Y,-50,0.014322356091,0.00542478652115825
EUR_10Y_1Y,0,0.014322356091,0.00562469387915467
EUR_10Y_1Y,50,0.014322356091,0.00585002819538433
EUR_10Y_1Y,100,0.014322356091,0.00609611622488052
EUR_10Y_1Y,150,0.014322356091,0.00636251623781199
EUR_10Y_1Y,250,0.014322356091,0.00694112661533839
EUR_10Y_1Y,350,0.014320805564,0.00755196146275805
EUR_12Y_1Y,-225,0.016005526719,0.00498029382369041
EUR_12Y_1Y,-200,0.015999809087,0.00503942231715486
EUR_12Y_1Y,-150,0.015998632987,0.00515495738664877
EUR_12Y_1Y,-100,0.015998632987,0.00527967110178629
EUR_12Y_1Y,-50,0.015998632987,0.00542551577129776
EUR_12Y_1Y,0,0.015998632987,0.00559971499758564
EUR_12Y_1Y,50,0.015998632987,0.00579731688663137
EUR_12Y_1Y,100,0.015998632987,0.00601655042449459
EUR_12Y_1Y,150,0.015998632987,0.00625477841133735
EUR_12Y_1Y,250,0.015998632987,0.00677713725302667
EUR_12Y_1Y,350,0.0160020052,0.00733277641091639
EUR_15Y_1Y,-225,0.016337508633,0.00497104120283413
EUR_15Y_1Y,-200,0.016336728022,0.00503189187780102
EUR_15Y_1Y,-150,0.016336870035,0.00513915948303551
EUR_15Y_1Y,-100,0.016336870035,0.00524938743915053
EUR_15Y_1Y,-50,0.016336870035,0.00537490986978941
EUR_15Y_1Y,0,0.016336870035,0.00552314514776166
EUR_15Y_1Y,50,0.016336870035,0.005691299441826
EUR_15Y_1Y,100,0.016336870035,0.00587587822938417
EUR_15Y_1Y,150,0.016336870035,0.0060787469787598
EUR_15Y_1Y,250,0.016336870035,0.00653055175634498
EUR_15Y_1Y,350,0.016337292139,0.00701507221479683
EUR_20Y_1Y,-200,0.014586527382,0.00483486862065125
EUR_20Y_1Y,-175,0.014585478875,0.00489483577780133
EUR_20Y_1Y,-150,0.01458504716,0.0049470153496962
EUR_20Y_1Y,-100,0.01458504716,0.00505441846168376
EUR_20Y_1Y,-50,0.01458504716,0.00516413394794646
EUR_20Y_1Y,0,0.01458504716,0.00529011634471594
EUR_20Y_1Y,50,0.01458504716,0.00543156762616355
EUR_20Y_1Y,100,0.01458504716,0.00558591809858777
EUR_20Y_1Y,150,0.01458504716,0.00575592478782297
EUR_20Y_1Y,250,0.01458504716,0.00613928869193986
EUR_20Y_1Y,350,0.014585413061,0.00655323539515712
EUR_25Y_1Y,-175,0.012417886498,0.00471441601051486
EUR_25Y_1Y,-150,0.01241638597,0.00477980519533261
EUR_25Y_1Y,-125,0.012415215356,0.0048377556147402
EUR_25Y_1Y,-100,0.012415215356,0.00489517151454164
EUR_25Y_1Y,-50,0.012415215356,0.00501133428706898
EUR_25Y_1Y,0,0.012415215356,0.0051366138233079
EUR_25Y_1Y,50,0.012415215356,0.00527351938672336
EUR_25Y_1Y,100,0.012415215356,0.00542186502035798
EUR_25Y_1Y,150,0.012415215356,0.00558546152348752
EUR_25Y_1Y,250,0.012415215356,0.00595275697365026
EUR_25Y_1Y,400,0.012414913924,0.00654564699446434
EUR_30Y_1Y,-175,0.011143282021,0.00452076123794094
EUR_30Y_1Y,-150,0.011148531082,0.00459638390164144
EUR_30Y_1Y,-125,0.011145787436,0.00466261083512287
EUR_30Y_1Y,-100,0.011145787436,0.0047252364054641
EUR_30Y_1Y,-50,0.011145787436,0.00484227730003726
EUR_30Y_1Y,0,0.011145787436,0.00496383801430272
EUR_30Y_1Y,50,0.011145787436,0.00509714296348246
EUR_30Y_1Y,100,0.011145787436,0.00523985689650115
EUR_30Y_1Y,150,0.011145787436,0.00539747739243779
